date,store,category,product,quantity,unit_price,revenue,year,month,month_name,day_of_week,calculated_revenue,revenue_mismatch_flag
2023-04-13,Bangalore,Home Decor,B1,9,263,2367,2023,4,Apr,Thursday,2367,False
2023-06-29,Chennai,Groceries,D1,6,194,1164,2023,6,Jun,Thursday,1164,False
2023-04-03,Hyderabad,Clothing,A1,6,1905,11430,2023,4,Apr,Monday,11430,False
2023-01-15,Hyderabad,Clothing,B1,5,932,4660,2023,1,Jan,Sunday,4660,False
2023-04-17,Chennai,Home Decor,A1,5,1233,6165,2023,4,Apr,Monday,6165,False
2023-03-13,Mumbai,Electronics,D1,2,435,870,2023,3,Mar,Monday,870,False
2023-01-21,Hyderabad,Groceries,C1,8,921,7368,2023,1,Jan,Saturday,7368,False
2023-04-13,Bangalore,Electronics,C1,8,337,2696,2023,4,Apr,Thursday,2696,False
2023-05-02,Mumbai,Electronics,B1,1,480,480,2023,5,May,Tuesday,480,False
2023-03-16,Bangalore,Electronics,A1,8,1559,12472,2023,3,Mar,Thursday,12472,False
2023-03-29,Delhi,Electronics,A1,5,998,4990,2023,3,Mar,Wednesday,4990,False
2023-04-27,Mumbai,Clothing,B1,2,582,1164,2023,4,Apr,Thursday,1164,False
2023-04-10,Hyderabad,Clothing,C1,2,1001,2002,2023,4,Apr,Monday,2002,False
2023-04-14,Mumbai,Electronics,D1,6,1148,6888,2023,4,Apr,Friday,6888,False
2023-06-01,Mumbai,Groceries,B1,9,1776,15984,2023,6,Jun,Thursday,15984,False
2023-05-11,Mumbai,Home Decor,D1,1,1240,1240,2023,5,May,Thursday,1240,False
2023-05-30,Mumbai,Groceries,C1,6,581,3486,2023,5,May,Tuesday,3486,False
2023-02-22,Bangalore,Groceries,A1,9,1515,13635,2023,2,Feb,Wednesday,13635,False
2023-01-02,Delhi,Groceries,C1,8,1016,8128,2023,1,Jan,Monday,8128,False
2023-03-29,Chennai,Electronics,B1,6,1093,6558,2023,3,Mar,Wednesday,6558,False
2023-06-07,Mumbai,Clothing,A1,3,1063,3189,2023,6,Jun,Wednesday,3189,False
